epoch,step,train_loss,val_loss
0,49,0.011939844116568565,
0,56,,0.014234037138521671
1,99,0.00870462879538536,
1,113,,0.011156451888382435
2,149,0.008144780993461609,
2,170,,0.010429797694087029
3,199,0.008094195276498795,
3,227,,0.010053373873233795
4,249,0.007841994985938072,
4,284,,0.010038672015070915
